id,property_type,state,region,lat,lon,area_m2,price_brl,city
193,apartment,Pernambuco,Northeast,-8.1410578,-34.9047129,140.0,959115.56,Recife
194,apartment,Pernambuco,Northeast,-8.0485123,-34.9106168,62.0,302878.6,Recife
195,apartment,Pernambuco,Northeast,-8.0336819,-34.8983573,127.0,747100.55,Recife
196,apartment,Pernambuco,Northeast,-8.0578381,-34.882897,131.0,648782.97,Recife
197,apartment,Pernambuco,Northeast,-8.02765,-34.920338,96.0,698689.35,Recife
198,apartment,Pernambuco,Northeast,-8.048381,-34.908379,75.0,409232.33,Recife
199,apartment,Pernambuco,Northeast,-8.021971,-34.931366,150.0,1097940.43,Recife
200,apartment,Pernambuco,Northeast,-8.0578238,-34.9126499,140.0,349344.66,Recife
201,apartment,Pernambuco,Northeast,-8.14068,-34.905975,,698689.35,Recife
202,apartment,Pernambuco,Northeast,-8.02765,-34.920338,105.0,818464.67,Recife
203,apartment,Pernambuco,Northeast,-8.106074,-34.888065,94.0,748595.73,Recife
204,apartment,Pernambuco,Northeast,-8.140393,-34.906624,128.0,1097940.43,Recife
205,apartment,Pernambuco,Northeast,-8.140393,-34.906624,128.0,1048034.05,Recife
206,apartment,Pernambuco,Northeast,-8.09607,-34.884548,90.0,489082.54,Recife
207,apartment,Pernambuco,Northeast,-8.103477,-34.888622,230.0,798502.15,Recife
208,apartment,Pernambuco,Northeast,-8.0378897,-34.9113117,122.0,848408.53,Recife
209,apartment,Pernambuco,Northeast,-8.035595,-34.921719,106.0,678726.79,Recife
210,apartment,Pernambuco,Northeast,-8.021971,-34.931366,204.0,1297565.98,Recife
211,apartment,Pernambuco,Northeast,-8.050071,-34.89138,,1097940.43,Recife
212,apartment,Pernambuco,Northeast,-8.056418,-34.909309,91.0,678726.79,Recife
213,apartment,Pernambuco,Northeast,-8.0369,-34.884521,64.0,364316.6,Recife
214,apartment,Pernambuco,Northeast,-8.1274129,-34.905172,122.0,529007.65,Recife
